expectedData,actualData
0.2497583463937044,0.244
0.24366311722248793,0.232
0.22838491202145814,0.21800000000000003
0.2309743201583624,0.212
0.22784623280912636,0.194
0.2277567529529333,0.191
0.21973592694848776,0.191
0.25337659152597186,0.184
0.24139570760726928,0.22200000000000003
0.28071011509746313,0.288
0.30837498683482406,0.364
0.3887304366081953,0.429
0.4499477692395448,0.46
0.4671242477446794,0.448
0.46399910230934616,0.449
0.4328429444730282,0.494
0.4837896392345428,0.522
0.5043576743006706,0.548
0.5207581054717302,0.546
0.5130664379894733,0.609
0.5812461927235126,0.616
0.5921163362264633,0.627
0.5805261626541615,0.581
0.5568940772414207,0.61
0.5663745627105236,0.63
0.6208741759955883,0.598
0.5788779385983943,0.575
0.5486574705839157,0.555
0.537309931024909,0.56
0.5441534675657749,0.491
0.491474778085947,0.501
0.4907599333077669,0.47500000000000003
0.513048544704914,0.53
0.5265665987879038,0.551
0.5696779961884021,0.626
0.626203795582056,0.556
0.5688845123052596,0.548
0.5341412613838911,0.494
0.5040411297380923,0.4729999999999999
0.4531984900683164,0.462
0.456445557013154,0.428
0.41269599266350265,0.405
0.4008014989197254,0.383
0.39201038850843906,0.375
0.35435585182905194,0.336
0.316390963383019,0.335
0.31760309907794,0.316
0.3132878487184644,0.3
0.2842168899029493,0.301
0.2810463933199644,0.281
0.2535215378776193,0.275
0.24190844693034885,0.26
0.24706049044430256,0.246
0.21952238967269658,0.255
0.2570275335460901,0.259
0.2759670110493898,0.272
0.30257814027369023,0.284
0.31409225395321844,0.293
0.3213351653814316,0.297
0.324603295892477,0.294
0.3192483409196138,0.282
0.29348050661385056,0.282
0.28837495608627794,0.264
0.2668359013646841,0.24100000000000002
0.24514785683900117,0.228
0.22185851111263036,0.22700000000000004
0.21646727253496648,0.22500000000000003
0.22230711939930914,0.231
0.22477030733972786,0.22600000000000003
0.2045839285105467,0.23599999999999996
0.21972515336424112,0.23
0.22990193209052084,0.23700000000000002
0.20611810302734374,0.228
0.2219163150191307,0.253
0.22041049840301274,0.274
0.26136558037996294,0.327
0.32471511548757553,0.352
0.36011719392240044,0.386
0.38983879931271076,0.373
0.3783387100994587,0.428
0.43994193048775193,0.435
0.47086179487407204,0.4689999999999999
0.47100066933035845,0.461
0.4693023387044668,0.548
0.5441079014837742,0.604
0.6316292758882045,0.647
0.6258742474913597,0.661
0.6569695520401,0.76
0.7358164447844028,0.785
0.8087077216506003,0.765
0.7337306681275367,0.821
0.7721936534941196,0.824
0.7976575706303118,0.9060000000000001
0.8460791629254817,0.915
0.8920497513711452,0.9680000000000001
0.9102085873186586,0.9640000000000001
0.9487869924306868,0.971
0.9201761677563188,0.972
0.9555164256989954,0.918
0.8986682247817516,0.879
0.8786494544446467,0.927
0.9194939661324022,0.991
1.0127785364389417,1.005
1.0153604353070258,1.066
1.0689961199760436,1.058
1.0743509943485259,1.047
1.057200845301151,1.05
1.0833798490166662,1.011
1.0346679878830907,1.111
1.1368267138600348,1.174
1.2122595356702803,1.05
1.0856565411090848,1.075
1.0389768842458722,1.022
1.0247013746500013,1.024
0.9984893785119054,0.973
0.9792177199721335,0.985
0.9483736736774443,0.917
0.9218350310623644,0.871
0.8399276881217955,0.825
0.8356359327733516,0.824
0.7923525072932243,0.752
0.753964856415987,0.782
0.7410000164806843,0.752
0.7621650317013263,0.761
0.7484614086747169,0.71
0.7250250209867953,0.682
0.6722816900014876,0.655
0.6643635623157024,0.657
0.6464235832691192,0.671
0.6789575508832931,0.701
0.7118888246417044,0.625
0.6277821659743785,0.604
0.5910681014060973,0.566
0.5578973907828331,0.539
0.5194777146875857,0.504
0.4960954098552465,0.498
0.46557029926776883,0.48500000000000004
0.4665525492429733,0.498
0.45812588688731193,0.47400000000000003
0.45554581496119495,0.4699999999999999
0.4315518875718116,0.459
0.4368261346966028,0.463
0.4279613555371761,0.45500000000000007
0.4312151391804218,0.457
0.4283536913245916,0.429
0.4198883945196867,0.397
0.4009039688706398,0.382
0.34360851643979545,0.382
0.35569666603207584,0.351
0.3417289961576462,0.331
0.3199188554883003,0.339
0.3411037790030241,0.343
0.36788921998441215,0.349
0.3658560753762722,0.372
0.40972616416215896,0.374
0.39228112518787384,0.391
0.4120340217351913,0.429
0.4498695600032806,0.446
0.4559017462432384,0.488
0.5003479128181934,0.4709999999999999
0.48034991051256654,0.516
0.5103167559951544,0.573
0.5892193436026573,0.576
0.5756705807745456,0.596
