city,Year,Month,Hs,Hmax,SST
Townsville,2021,5,0.7,1.21,24.88
Townsville,2021,6,0.57,1.0,23.09
Townsville,2021,7,0.52,0.91,22.86
Townsville,2021,8,0.74,1.29,23.22
Townsville,2021,9,0.62,1.06,23.82
Townsville,2021,10,0.45,0.8,26.76
Townsville,2021,11,0.67,1.19,13.61
Townsville,2021,12,0.53,0.94,16.32
Townsville,2022,1,0.66,1.16,38.77
Townsville,2022,2,0.63,1.11,42.47
Townsville,2022,3,0.75,1.32,29.39
Townsville,2022,4,0.93,1.62,27.65
Townsville,2022,5,0.58,1.03,25.77
Townsville,2022,6,0.7,1.24,23.68
Townsville,2022,7,0.6,1.06,20.93
Townsville,2022,8,0.67,1.18,21.84
Townsville,2022,9,0.55,0.95,24.15
Townsville,2022,10,0.66,1.16,26.75
Townsville,2022,11,0.62,1.09,27.98
Townsville,2022,12,0.72,1.27,28.69
